layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Input,6.2237506,6.223752,6.223751,6.223752,6.2237506,6.2237506,6.223751,6.223752,6.2237525,6.223751
Conv1,1.2232611,1.2037936,1.5929996,2.0578175,2.5483284,2.8473392,2.8122983,2.7885988,2.7920122,2.7851677
Conv2,1.3251867,1.6832759,3.5144453,3.0881896,2.9422107,2.9208078,2.97914,2.9455853,2.9604616,2.9577146
Conv3,2.288339,1.9767835,1.8195715,1.9740171,2.0487185,2.108071,2.2443683,2.2734573,2.3016832,2.305499
Conv4,2.5966437,3.0438142,3.2682362,4.0645556,4.239777,4.1040187,4.587368,4.445174,4.4950047,4.4825053
Conv5,1.9802738,2.9060502,4.329902,5.635861,6.325244,6.751494,7.052299,7.1315327,7.220781,7.2372165
Conv6,1.7713383,3.760225,5.154649,6.145218,6.2573924,6.0805063,6.254985,6.281691,6.2894363,6.315468
Conv7,1.3323469,3.6762428,5.9875526,6.878602,6.4430666,5.67583,5.5833507,5.4162292,5.4557433,5.4648466
Conv8,1.2658213,2.96708,5.4159875,6.400217,6.3073325,6.0102787,5.9441233,5.818914,5.822956,5.8240438
Conv9,1.1578275,2.893114,6.722851,7.6994524,7.014559,6.1040745,5.846595,5.704583,5.7130146,5.680259
Conv10,1.1207238,2.231498,4.3864965,5.974945,5.929137,5.251967,5.019121,4.8025866,4.819839,4.7829714
Conv11,1.1235542,3.6935148,9.61637,11.443557,11.032417,10.190592,9.950645,9.664086,9.610927,9.586958
Conv12,1.1335734,4.115866,11.679098,15.40227,14.097362,12.349936,11.765005,11.121145,10.959078,10.881436
Conv13,1.0800948,2.8074362,6.3040934,10.717067,8.674802,7.3407545,6.8027143,6.345559,6.2780833,6.2184796
Linear1,1.3842665,4.705629,16.048666,37.03319,35.620625,34.0001,31.886541,30.847805,30.85366,30.834139
Linear2,23.117147,20.032698,39.23787,48.87739,41.898445,35.28897,31.693287,30.500702,29.645144,29.294872
