layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,1.22326,1.2037926,1.5930026,2.0578144,2.5483217,2.8473406,2.8122969,2.7885907,2.7920077,2.7851644
Conv2,2.836273,3.0709908,3.0477185,2.993159,2.972213,2.97507,2.9605727,2.9527712,2.9585607,2.9577138
Conv3,1.6384445,1.8243102,1.9693894,2.0832703,2.1721196,2.2416253,2.2913334,2.2969847,2.3016727,2.3054976
Conv4,4.0752068,4.6219864,4.6973057,4.70474,4.6350603,4.5525575,4.485453,4.490733,4.474535,4.482522
Conv5,4.4534855,5.8365245,6.7783365,7.0255933,7.1807284,7.2024956,7.223566,7.215658,7.231539,7.237225
Conv6,8.360819,8.436326,7.837094,7.3082023,6.8541303,6.5459743,6.3881354,6.330098,6.316691,6.3154874
Conv7,8.533242,11.0359955,9.461998,7.7221437,6.617841,6.0531664,5.7052164,5.5343666,5.4737597,5.464854
Conv8,7.524583,8.915762,8.2234335,7.3207955,6.6508594,6.2270846,6.0035124,5.8717866,5.8274455,5.8240495
Conv9,15.02342,12.832958,9.63999,7.7802963,6.7468104,6.1765113,5.8834114,5.741332,5.687972,5.680264
Conv10,17.675386,12.337545,8.4823475,6.6423235,5.724984,5.2201977,4.9720736,4.8335576,4.788744,4.7829695
Conv11,21.26431,19.978296,16.128946,13.291387,11.573401,10.481862,9.970384,9.71185,9.603864,9.586941
Conv12,28.946459,23.15724,17.614187,14.441822,12.732938,11.770839,11.222987,10.979542,10.896814,10.881467
Conv13,16.395266,10.569302,8.480419,7.4261456,6.8207,6.509267,6.330819,6.2495985,6.222555,6.218473
Linear1,56.11788,44.82252,38.80199,35.362534,33.279186,32.02077,31.319847,30.977251,30.851288,30.834162
Linear2,88.94378,52.95013,40.68243,35.189198,32.564102,31.067831,30.351622,30.066824,29.745659,29.775091
