layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Input,6.2237525,6.223752,6.223752,6.2237506,6.22375,6.2237525,6.223752,6.223752,6.223751,6.2237525
Conv1,1.5971482,1.6225934,1.4523175,1.5027483,1.5765592,1.6064739,1.9777794,2.005131,2.6072676,2.7851672
Conv2,1.818365,1.8536576,1.8360201,1.7088655,2.2815332,2.4406185,3.1372352,2.969338,3.1788163,2.9577138
Conv3,2.1981258,2.1038847,2.5758438,2.2480054,3.8137636,4.0551972,3.694521,3.2504501,3.0203602,2.3054976
Conv4,2.4471953,2.131927,2.670646,1.9164021,3.6971943,2.3779302,3.071646,4.028947,5.0477824,4.4825172
Conv5,3.0039032,2.4711282,3.3975863,2.3149557,4.6858625,4.503536,5.5526166,6.667096,7.2167177,7.2372136
Conv6,3.6273236,2.7723746,2.8229966,2.5069904,5.7283087,5.4061656,5.52684,6.8342633,7.8206544,6.315476
Conv7,4.288107,2.9192958,2.3433383,3.1266952,5.3019466,4.637225,5.844237,7.204792,7.1708913,5.4648733
Conv8,1.0624602,3.7926779,2.930105,3.4073234,3.7395043,5.0868173,5.5143104,5.89684,6.244127,5.824068
Conv9,1.0141504,3.1561563,2.680279,2.7433555,6.8411984,6.7257404,6.828339,6.1112285,6.5743675,5.6802564
Conv10,1.0308864,1.7823426,2.7231948,2.9031188,4.9665484,5.485051,8.747725,4.793127,6.219884,4.7829623
Conv11,1.1031339,1.073161,4.199829,3.3085084,4.877563,4.4644184,8.709611,11.354491,9.188057,9.586941
Conv12,1.217178,1.0335953,5.211375,2.9904377,5.0544486,4.9341288,7.7680545,15.265946,12.216629,10.881435
Conv13,1.3175689,1.0243411,1.9308299,3.5915215,3.2963996,4.1956296,8.204006,14.716836,10.603203,6.2184725
Linear1,1.0265682,4.5051584,4.9541597,5.5797,6.8590508,8.653323,17.632435,33.32081,36.357265,30.834158
Linear2,689.9861,670.9341,667.0603,625.07104,546.5766,268.86725,62.868584,44.343727,49.024677,29.906258
