layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,1.2470185,1.562088,1.3699216,1.6957146,1.5549338,1.8305649,1.8780125,2.382128,2.664432,2.8078947
Conv2,3.8441744,3.3831167,3.2608182,3.0412338,3.1141717,2.9538445,3.0504441,3.0377128,3.018037,2.9438787
Conv3,3.5049155,3.5512645,3.626835,3.1256726,2.9731853,2.3338888,2.5719535,2.5801225,2.2953978,2.3279538
Conv4,2.9573727,4.9742126,4.819096,4.8231196,4.548282,4.239314,4.73211,4.665926,4.7277575,4.49159
Conv5,5.494247,6.2644277,6.4951572,6.624866,6.5378704,6.7094073,7.106697,6.94009,7.1189466,7.1520987
Conv6,7.338679,6.852662,6.7458196,6.3994937,6.546594,6.493623,6.3262043,6.114159,6.178784,6.152393
Conv7,6.5973783,6.430267,5.958359,5.819395,5.958961,5.376681,5.5737295,5.2620683,5.499211,5.33885
Conv8,7.060291,6.500427,6.237898,6.030442,5.7739644,5.863611,5.9264793,5.807784,5.8314457,5.766218
Conv9,8.005528,6.824118,6.323112,6.1834664,6.051757,5.852087,5.8595057,5.7108026,5.717613,5.6520367
Conv10,8.053711,6.2401977,5.666205,5.308165,5.2188735,5.005633,4.8783073,4.8149486,4.7823367,4.718719
Conv11,13.736082,11.93088,10.557259,10.348821,10.101255,9.9119625,9.846902,9.734035,9.721147,9.618998
Conv12,17.062027,13.0581,12.9694395,11.762706,11.782335,11.28546,11.135483,11.05936,10.923158,10.843263
Conv13,12.924625,9.457336,7.83707,7.236961,6.9463596,6.845273,6.54716,6.408725,6.33411,6.2475486
Linear1,72.134926,49.30111,41.574654,37.95527,35.913086,34.508568,33.466362,32.730484,32.2055,31.69381
Linear2,67.34383,42.926575,34.76626,30.782557,28.190346,26.987041,25.612347,24.8401,24.068436,23.599833
