layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Input,6.2237506,6.223752,6.223751,6.223752,6.2237506,6.2237506,6.223751,6.223752,6.2237525,6.223751
Conv1,1.0266954,1.0633527,1.2737911,2.088679,2.0913973,2.170458,2.7133985,2.7630548,2.785198,2.7851677
Conv2,1.0816377,2.2398894,1.2943052,2.3694825,2.5013797,2.5493,2.7387273,2.8211265,2.9460347,2.9577146
Conv3,1.4969829,1.4499224,1.6738558,1.9650414,2.180989,2.1320233,2.1802611,2.196767,2.2691104,2.305499
Conv4,1.9863336,2.2018828,2.1908796,2.9257288,3.5710607,3.437588,3.689211,3.7110178,4.0555964,4.4825053
Conv5,1.5932435,3.7728586,5.738244,6.233991,6.2685585,6.349386,6.3925357,6.7867484,7.2888336,7.2372165
Conv6,1.3635383,2.9308732,3.921739,3.970181,4.400127,4.927531,5.525536,5.700251,6.2586894,6.315468
Conv7,1.3076673,2.3854344,3.304253,3.361036,3.769896,4.3184566,4.900373,4.6821895,5.143293,5.4648466
Conv8,1.4495567,3.0952446,4.1654296,4.701887,5.268233,5.191564,5.582791,5.7347035,5.9059496,5.8240438
Conv9,1.3004359,1.9633365,3.0967696,3.9319277,4.3405375,4.7099757,5.1774244,5.39952,5.769389,5.680259
Conv10,1.2297893,1.691863,2.2659318,3.22279,3.8306844,4.126104,4.488089,4.6204653,4.9399285,4.7829714
Conv11,2.5837529,6.429398,7.125936,8.251209,9.438684,9.7659445,9.735601,9.578515,9.47105,9.586958
Conv12,1.4371897,8.501637,7.6445265,9.865208,11.252706,11.898399,11.584415,11.329205,10.803741,10.881436
Conv13,1.4244499,8.580902,6.778702,8.510224,8.188959,8.567633,7.727753,6.9054604,6.247647,6.2184796
Linear1,1.6714865,6.962052,13.413172,20.963694,24.525528,26.565973,28.099998,30.302303,30.451246,30.834139
Linear2,5.6933002,16.776957,18.688929,25.053005,29.329723,27.520973,26.889544,27.814178,28.112722,29.294872
