layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,1.0265927,1.0632304,1.273774,2.088666,2.0913956,2.1704602,2.7134008,2.763056,2.7852004,2.7851644
Conv2,1.135179,2.129684,2.6637385,2.786184,2.83611,2.8879836,2.916216,2.9349031,2.9483356,2.9577138
Conv3,1.5089973,1.6741006,1.8661813,2.0944674,2.1866488,2.2285295,2.2443633,2.2675087,2.285905,2.3054976
Conv4,2.5927136,3.45873,3.9399776,4.1912866,4.2242627,4.2881064,4.3810663,4.4088163,4.444744,4.482522
Conv5,5.6915884,7.0322213,7.2739644,7.3661327,7.366925,7.329754,7.328914,7.311028,7.2726693,7.237225
Conv6,3.67035,5.0239773,5.552002,5.926206,6.1346073,6.2058864,6.244368,6.279877,6.2990065,6.3154874
Conv7,2.6190934,4.1131463,4.774509,5.033517,5.2348886,5.2963705,5.356433,5.4023986,5.4325795,5.464854
Conv8,5.019208,5.638679,5.692123,5.752822,5.78943,5.8021874,5.808022,5.8148184,5.8199744,5.8240495
Conv9,4.1661024,4.894915,5.2211423,5.3845267,5.496875,5.5614986,5.6058455,5.635485,5.6567225,5.680264
Conv10,3.2733319,3.9076812,4.229794,4.424201,4.5424185,4.6242533,4.681291,4.721629,4.748948,4.7829695
Conv11,6.6235814,7.9814644,8.638567,8.9803915,9.194418,9.345188,9.435631,9.501427,9.5429325,9.586941
Conv12,6.643598,8.561321,9.493401,10.007991,10.315428,10.512177,10.653804,10.752785,10.813355,10.881467
Conv13,3.6370857,4.701537,5.268343,5.6037183,5.829101,5.967355,6.065144,6.1290083,6.171203,6.218473
Linear1,26.15406,28.008749,28.93735,29.505468,29.891981,30.167433,30.372217,30.526676,30.645515,30.834162
Linear2,24.096527,25.635906,26.325836,26.89042,27.575909,28.11853,28.584839,28.960665,29.020103,29.775091
