layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,2,2,3,3,3,3,3,3,3,3
Conv2,6,5,5,5,5,5,5,5,5,5
Conv3,5,6,7,7,7,7,7,7,7,7
Conv4,13,13,12,12,11,11,11,11,11,11
Conv5,15,16,16,17,17,17,17,17,17,17
Conv6,26,24,23,22,21,21,21,21,21,21
Conv7,33,33,31,28,27,26,25,25,25,25
Conv8,33,33,32,31,30,29,29,29,29,29
Conv9,67,59,52,47,44,42,41,40,40,40
Conv10,94,83,72,65,59,56,54,53,53,53
Conv11,99,93,85,80,76,73,72,71,71,71
Conv12,130,116,105,98,94,91,89,88,88,88
Conv13,138,126,117,111,107,104,102,101,101,101
Linear1,739,573,498,458,436,424,417,414,413,413
Linear2,1302,1018,832,713,633,581,554,541,538,536
