layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,3,2,2,2,3,3,3,3,3,3
Conv2,6,5,6,5,5,5,5,5,5,5
Conv3,8,8,8,8,7,7,7,7,7,7
Conv4,15,13,13,12,12,12,12,11,11,11
Conv5,17,18,17,17,17,17,17,17,17,17
Conv6,31,26,24,24,22,22,21,21,21,21
Conv7,38,34,30,29,27,26,26,25,25,25
Conv8,41,36,34,32,31,30,29,29,29,29
Conv9,73,57,51,48,45,44,43,42,41,40
Conv10,96,81,70,65,61,58,56,55,54,53
Conv11,121,101,90,83,80,77,74,73,72,71
Conv12,139,118,108,102,97,95,92,90,89,88
Conv13,152,133,121,115,111,108,105,104,102,101
Linear1,1780,1379,1101,899,749,639,558,496,449,413
Linear2,1808,1637,1480,1333,1192,1056,921,789,661,537
