layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,1,1,2,3,3,3,3,3,3,3
Conv2,2,3,4,4,4,5,5,5,5,5
Conv3,2,5,6,7,7,7,7,7,7,7
Conv4,6,8,9,10,10,11,11,11,11,11
Conv5,10,14,15,16,16,16,16,17,17,17
Conv6,10,15,17,18,19,20,20,20,20,21
Conv7,10,16,19,21,22,23,23,24,24,25
Conv8,18,24,26,27,28,28,28,28,29,29
Conv9,20,28,32,34,36,38,39,39,40,40
Conv10,20,31,38,43,46,48,50,51,52,53
Conv11,25,40,50,56,61,64,66,68,69,71
Conv12,28,46,59,68,74,79,82,84,86,88
Conv13,31,54,69,79,87,92,95,98,99,101
Linear1,142,206,255,292,322,346,365,380,392,413
Linear2,101,136,174,217,262,305,347,385,419,536
