layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,0.7664519233544406,0.7609258653196344,0.8797099272607039,0.9322276597471264,0.9733692339188766,0.9950615235041133,0.998399985043225,0.999937853152717,0.9999721906951534,0.9999999999999999
Conv2,0.3103468821952307,0.41973587723148076,0.7415360963457902,0.8416885770341221,0.9433251610100432,0.963767248386025,0.9900586323198032,0.9984745519138986,0.9994231302889143,1.0
Conv3,0.7228167893970145,0.8439036669453849,0.9382338896865918,0.9620533278456724,0.9834187455559302,0.9927196371487363,0.9979973095755041,0.9996193329140559,0.9998813268085606,0.9999999999999997
Conv4,0.4863590571924906,0.643449525637639,0.7986645399118949,0.8494894174602782,0.9149194314017017,0.9586254536966802,0.9813143803906773,0.996695959999066,0.9985265119967756,0.9999999999999998
Conv5,0.5627996126387131,0.7088557440513152,0.8338280043481119,0.9175421130019084,0.9643168287311435,0.9878493201137865,0.9946265676674878,0.9991146284344938,0.9997388820055749,0.9999999999999997
Conv6,0.4332264793133114,0.6508467379370235,0.7996380085011646,0.9101655897051197,0.960123652484682,0.9856966975428442,0.9942788379674862,0.9989193593932275,0.9996997448093687,1.0
Conv7,0.3976162771364619,0.5851634708900304,0.7764959408757374,0.8767537211047117,0.9400208178558328,0.9767342618604473,0.9897831333996874,0.9982180378262488,0.9995459054011028,1.0
Conv8,0.3842470327413939,0.6218533988223613,0.8126921373163387,0.9081230553783796,0.9650378056850624,0.9889930036650021,0.9958563110946022,0.9993192572854173,0.9998540164649842,0.9999999999999997
Conv9,0.3291448402928818,0.5500363412888127,0.7638602883149715,0.899419145957201,0.9612698640744685,0.9877817780213399,0.9954434646647463,0.9992407422357599,0.9998237318096843,1.0
Conv10,0.2620153795341382,0.48438937391891407,0.7201930564318741,0.8728703023709358,0.9443604087526318,0.9813912244594257,0.99263617133264,0.9988550592889052,0.9997146650007244,1.0
Conv11,0.21776675078890742,0.49411401546644546,0.7468177801424639,0.8974852846292969,0.9606407955132629,0.9874750424855021,0.9956091297270367,0.9992589925463999,0.9998431103871983,1.0
Conv12,0.1825457971263954,0.43053706411958653,0.6653270221319842,0.8653286078138246,0.9484547288128877,0.9838230552317131,0.9943265023577372,0.9990038625085791,0.9997916345128529,1.0
Conv13,0.16032472993465952,0.3585907539449346,0.549921755812409,0.8058946023346537,0.9221678523185172,0.9729065362335111,0.9909439798350907,0.9983369385754854,0.9996619597108857,0.9999999999999997
Linear1,0.11468516650390187,0.2813274406206801,0.4818420492529499,0.7930204115930715,0.9219288875130486,0.9727956078588003,0.9902751725344204,0.9981652009364964,0.9996238497988535,0.9999999999999999
Linear2,0.10228700362691517,0.22158547034584963,0.42786011626860754,0.7214873101524044,0.8792947074385313,0.9553837547541885,0.9839435360131964,0.9969972616910763,0.9993767989355501,1.0
