layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,0.7664519233544406,0.7609258653196344,0.8797099272607039,0.9322276597471264,0.9733692339188766,0.9950615235041133,0.998399985043225,0.999937853152717,0.9999721906951534,0.9999999999999999
Conv2,0.8820106642617298,0.9741775855197263,0.9917705432391396,0.9968476755377399,0.9988436917977669,0.9995727176449406,0.9998900332021651,0.9999832814751172,0.999998809255666,1.0
Conv3,0.955924752830945,0.9796126807178894,0.9904907941302514,0.9957385442365413,0.9983036759236323,0.999470869112043,0.9998895068961243,0.999983410122602,0.99999646672284,0.9999999999999997
Conv4,0.8768303289691429,0.9473631175470544,0.9794068679793843,0.9931325184293716,0.9981770536231422,0.9994816945267903,0.9998498067153823,0.9999658299433859,0.9999960706289953,0.9999999999999998
Conv5,0.8424956565796642,0.9266314235835356,0.9715399122873467,0.9893302857228305,0.9964105386460848,0.9990629608446903,0.9997610792117007,0.9999574622370784,0.9999974864465716,0.9999999999999997
Conv6,0.9366171937978258,0.9794730897337942,0.9919543784524943,0.997544916555373,0.9991266626504469,0.9997511360159841,0.9998987611535168,0.9999713202037803,0.9999978382060809,1.0
Conv7,0.9273963896409229,0.9740348755599785,0.992163017917372,0.9969772440948987,0.998823856046785,0.9996551887942909,0.9998932184918585,0.9999774111369365,0.9999974863427399,1.0
Conv8,0.8733624791880623,0.9543230291912392,0.9850641491122916,0.9957339366987951,0.9988119229100074,0.9997274470152004,0.9999453675537293,0.999989692004016,0.9999987071528716,0.9999999999999997
Conv9,0.9557751976995391,0.9849517911980782,0.9945488715540226,0.9980132016717851,0.9993409102816898,0.9998179316076503,0.9999494567747037,0.9999917316743975,0.9999992146534065,1.0
Conv10,0.9428401968521469,0.9682223204756765,0.9858723060612653,0.9942771784519155,0.9980111666748469,0.9993954993592641,0.9998653738221928,0.9999820390969381,0.9999983182809283,1.0
Conv11,0.9510791912115284,0.9818304982336031,0.9922624282509446,0.9970323119603638,0.998945730097764,0.9996698208687456,0.9999095434386419,0.999985379351915,0.9999985529187944,1.0
Conv12,0.9545989423933732,0.9771460628213579,0.9889583945864374,0.9953263588313671,0.9983152882730828,0.9994872043807479,0.9998701085096628,0.9999750716925733,0.999998004588015,1.0
Conv13,0.89093955244008,0.9235435695430814,0.9576109791737683,0.980553661166929,0.9920720467072135,0.9975450544401318,0.9994936116134896,0.9999317279295176,0.9999964634893594,0.9999999999999997
Linear1,0.9514305150867582,0.9805048041940719,0.992144164747933,0.9970705234145614,0.9990348026254592,0.999735145174942,0.9999453831367514,0.999992194476152,0.999999411189912,0.9999999999999999
Linear2,0.97656898929207,0.9905879532320048,0.9961044092966006,0.99840697842505,0.9994151517991066,0.999808129423549,0.9999462059250677,0.9999885543077848,0.999998903443521,1.0
