layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,0.7781812181594001,0.8736576054188557,0.8578929444236308,0.8587534391703567,0.8951102160436044,0.8987746307690784,0.9464355930733784,0.9456787126153245,0.988340227521414,0.9999999999999999
Conv2,0.2943114000826676,0.4907213210226664,0.48071740527067475,0.48603677511842025,0.540383395281787,0.6318681025164249,0.7637056845235919,0.7063880985243124,0.8793803019888178,1.0
Conv3,0.08299715875587947,0.2257882372481318,0.23799676444967705,0.3556307780984808,0.49215854934042724,0.4914543497388075,0.6815320079408792,0.764309210007265,0.9408743818308974,0.9999999999999997
Conv4,0.18809240357614168,0.32139133278575666,0.3269759446910958,0.3435453858523911,0.3849373988342252,0.42346530286038836,0.467590890772976,0.4863434925295151,0.6960454722539801,0.9999999999999998
Conv5,0.18039594523048713,0.312378931844027,0.30404986272288226,0.38631996903517696,0.4624091293778778,0.47028947228777207,0.5748442977435123,0.6565053650476524,0.8621422971641417,0.9999999999999997
Conv6,0.17449466678388528,0.24885290187228845,0.236400701711592,0.3230864971130224,0.4300218429837512,0.42262005280255555,0.598178674815272,0.6013472499228196,0.8174115972305854,1.0
Conv7,0.21606184256398708,0.2690417870611248,0.2594639957594045,0.32000544028847266,0.4369545003342723,0.4263042323524531,0.5722804297800516,0.6219170474116456,0.80826528795902,1.0
Conv8,0.17694114647854353,0.2612938479855588,0.2444209336413085,0.3794140456571216,0.4816798531617237,0.4726278882415533,0.708361591657837,0.777711940371573,0.9029694880331253,0.9999999999999997
Conv9,0.15983934434536,0.2276022702491531,0.2071553514557448,0.3466946190020817,0.44300722527782394,0.4636435172795139,0.6868961798221414,0.7897407121483029,0.8934828221833517,1.0
Conv10,0.12262525452854643,0.22490080467135876,0.2286480757146683,0.33713897646009566,0.4079294126101105,0.46787667329758015,0.5857877320097734,0.7141452384937449,0.8569226337386953,1.0
Conv11,0.0659123306268484,0.15850795071100696,0.16386947844654365,0.2530813672154414,0.36887697904305033,0.4296308062491696,0.5673501379856131,0.7769112807221078,0.8754845382901522,1.0
Conv12,0.05809210463151628,0.14641978896783367,0.15058138966064472,0.22050841525408593,0.3225378153808569,0.3669277912937441,0.4577906345031746,0.6848001305743822,0.8510622482055124,1.0
Conv13,0.056550722916377534,0.1164305996250856,0.1382408706863746,0.1883684755032494,0.28626720775643516,0.33712850253380544,0.39068935876651695,0.6159883608473586,0.8033006125520169,0.9999999999999997
Linear1,0.030582151004826648,0.08172443059643394,0.11201897601337253,0.14661939991433703,0.21627422907199662,0.2350398633312393,0.29118803847975977,0.5359268262582108,0.7959093089805974,0.9999999999999999
Linear2,0.044059833308808895,0.0842886115046232,0.1090961491066428,0.13296986175831757,0.1775654556877431,0.17428665404153992,0.23029588025901754,0.42850337434797764,0.6987761159803002,1.0
