layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,0.7781812181594001,0.8117361901730584,0.8208270737096799,0.8349444488737902,0.9132630979535815,0.9486221811105153,0.9230923847592961,0.9468175103311147,0.9729228638609161,0.9999999999999999
Conv2,0.9111773231648609,0.9546725540232758,0.9831592816820991,0.980922080889564,0.9923638841771729,0.9933324121084283,0.9956048746767636,0.9985160645931827,0.9992358438914255,1.0
Conv3,0.8615202903857698,0.9419892444931718,0.9530876204477814,0.9735145260946518,0.966024295734652,0.9785217357124912,0.9915981708977232,0.9972601140881925,0.9993725066352268,0.9999999999999997
Conv4,0.9130406524847077,0.9518677813283168,0.9527496617958433,0.9715662534486871,0.9844804445822903,0.9919038686270895,0.993991178179905,0.9976497815737604,0.9984153385554456,0.9999999999999998
Conv5,0.9055033352956562,0.9306868552290457,0.9564249202322423,0.9851354696834023,0.9850670249402556,0.9899041961486396,0.9939684167628925,0.9978378231817463,0.9993491133417565,0.9999999999999997
Conv6,0.9509180965548418,0.9824500666178037,0.9814930986294975,0.9910468263762426,0.9941593624047537,0.9952115939957235,0.9978467105801406,0.9981958433831112,0.9995028468800695,1.0
Conv7,0.9340040030613662,0.9644529863946556,0.9871861968280132,0.9867320978960954,0.990561890800359,0.9938292174492279,0.9972037781797752,0.9974651568288428,0.999164957152023,1.0
Conv8,0.9546543407670174,0.9789116186901532,0.9892807186997086,0.9929657686018596,0.9970785464595141,0.9969977837089427,0.9985467823176436,0.9994670451817763,0.9996687818640352,0.9999999999999997
Conv9,0.9818835950493897,0.9911251156913927,0.9952665511177257,0.9956791906696414,0.9980020312454577,0.998596619610541,0.999207498668073,0.9995124342587017,0.9997415150087093,1.0
Conv10,0.9690753775390312,0.9874774163598501,0.9932640538741211,0.9946277256045021,0.9964414912166224,0.9979770484827064,0.9985341881605729,0.9992029409343604,0.999619501839797,1.0
Conv11,0.9719201798959463,0.9879258521450582,0.9903900435458929,0.9949305200670037,0.9966031330062461,0.9974774858246621,0.99850294139577,0.9992853821649924,0.9996871115758141,1.0
Conv12,0.9744950063702725,0.9875416884373213,0.9911722113075987,0.9943805320217635,0.9959790603369192,0.9973127797358191,0.9981188344758251,0.9987921061664374,0.9994567914614261,1.0
Conv13,0.9482296355327805,0.9703004110979434,0.9810746781902093,0.9885837907518469,0.9925607667548865,0.9947430832027626,0.9968241021762737,0.9978708863043398,0.999145204441689,0.9999999999999997
Linear1,0.9762268356709509,0.9911867735416025,0.9954289117446621,0.9972365644426399,0.9983213935725476,0.998915883882555,0.9993158617846627,0.999613704460695,0.9998351378542935,0.9999999999999999
Linear2,0.9717764132822908,0.9870128613881476,0.9931211546822946,0.9958421922776629,0.9973466393868474,0.9982720889729609,0.9989060683374913,0.9994001060129192,0.9997305175436219,1.0
