layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,0.535524919617058,0.6026507389978975,0.5583392712532437,0.8183611961356332,0.847112657520172,0.8854140769254984,0.9873464143358843,0.9980529392648747,0.9999998556025338,0.9999999999999999
Conv2,0.19374972457657091,0.29345784258217006,0.6323059307796961,0.9049150078713887,0.9293193678201619,0.9347256853799837,0.9614136584748761,0.9814415297447304,0.9999602558232379,1.0
Conv3,0.8237434500073954,0.910687546568249,0.9492984595856566,0.9807086501788927,0.9884723751592894,0.9898327848882962,0.992792264132991,0.9955311654729398,0.9995712576639598,0.9999999999999997
Conv4,0.5958759220974365,0.6986869533301188,0.8581368127985293,0.9063561736376158,0.9102422707276508,0.9323809281655621,0.9375542856890534,0.9783604962007447,0.9950207413747679,0.9999999999999998
Conv5,0.6113002114884577,0.7653978075238151,0.883856436448953,0.9262090436398791,0.941565363061776,0.9615062419427173,0.9738127353420506,0.9896229369431356,0.9974367242285118,0.9999999999999997
Conv6,0.5789072084320334,0.7537613599854165,0.875021576030637,0.9118488011213958,0.9351460947301791,0.9598169657763399,0.9726519734461943,0.9888253050521636,0.9968876178118683,1.0
Conv7,0.5112920474078746,0.6739199595489732,0.8176192337956628,0.8796176403545044,0.9214426021903098,0.9437466779255581,0.9582675722482971,0.982103118364342,0.994527416590936,1.0
Conv8,0.5167180987158844,0.7358297148699011,0.8602692050457287,0.9078843752260721,0.9353085926616318,0.9555481509989505,0.9703226113499775,0.9872289099137823,0.9967964025196245,0.9999999999999997
Conv9,0.5104208970769406,0.6781644207791855,0.836676312423928,0.8811011196123217,0.9213709784271477,0.949776501580842,0.9676177794916744,0.9866666028652754,0.9963137777582051,1.0
Conv10,0.4759851921117118,0.599856464614553,0.7905527663902672,0.851977513526209,0.8998207364894367,0.941454295891308,0.9613371068811881,0.9842426306451642,0.9948635267011219,1.0
Conv11,0.3826199472994803,0.631423475499165,0.8147775509980946,0.8716428222782712,0.9067906085823024,0.9472192499406135,0.9665687992916758,0.9872068849728485,0.996024269718634,1.0
Conv12,0.31880544927175913,0.5534648432909505,0.7560715854010182,0.8280868230218921,0.8852513233084008,0.9376541829938895,0.9616036314948752,0.9853133124542736,0.9948588231931632,1.0
Conv13,0.311910357027628,0.43321669564194315,0.6596714371215394,0.7648480108597062,0.8333977937167097,0.895896868988742,0.9360690859975558,0.9743810674093434,0.9906447953640637,0.9999999999999997
Linear1,0.19256030504079336,0.2963897111859263,0.5124400907133264,0.6906270981540518,0.795847926718421,0.8754012511239874,0.9257098682340305,0.9670730774501116,0.9880715624910499,0.9999999999999999
Linear2,0.12717858733267837,0.22426671236058848,0.3775199700053229,0.5697369306365665,0.7041277891558096,0.8116243483154826,0.8854062136603669,0.9487755039199177,0.9802045009576388,1.0
