layer_name,sparsity_0.1,sparsity_0.2,sparsity_0.3,sparsity_0.4,sparsity_0.5,sparsity_0.6,sparsity_0.7,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,0.535524919617058,0.6026507389978975,0.5583392712532437,0.8183611961356332,0.847112657520172,0.8854140769254984,0.9873464143358844,0.9980529392648748,0.9999998556025338,1.0
Conv2,0.6905337448976774,0.8997453891355796,0.9896149985237096,0.9964008994723816,0.9977881910930054,0.9996072788102304,0.9997644129201152,0.9999564586765864,0.9999932529890422,1.0
Conv3,0.8782422848350026,0.9658092293709356,0.9832689062342668,0.9962343322836236,0.9988264717686424,0.9993773796800228,0.9995252815475806,0.9997857911564372,0.9999246034473632,0.9999999999999996
Conv4,0.7150829979334953,0.913311452124119,0.9806626007660852,0.993810459410876,0.9958254564292324,0.9985326746237414,0.999276932342427,0.9996986486925558,0.999896751724683,0.9999999999999998
Conv5,0.9356728405942882,0.9873612144041106,0.9968462279469869,0.9991917346720334,0.9996739670004672,0.999900428938698,0.9999401252003371,0.9999760234945296,0.9999887194775692,0.9999999999999996
Conv6,0.9440330625586012,0.9886192582438578,0.9956764333763032,0.9984216549957852,0.999385681031897,0.9997395063909336,0.9998830564453643,0.9999526283074748,0.9999788372056008,1.0
Conv7,0.8877284397328997,0.9798757061569806,0.993128785561684,0.9973464686445987,0.9992379639251248,0.9996548102194132,0.999826742652155,0.9999242113764546,0.999967527947234,1.0
Conv8,0.9878418473709732,0.997237073716568,0.9996033127553736,0.9998565837797408,0.9999315865218488,0.9999666435309325,0.9999895279854574,0.9999942762962656,0.9999962221149072,0.9999999999999996
Conv9,0.9880716886243608,0.9973938939378404,0.9992978294472008,0.999728554156932,0.9998963639297442,0.999949112864988,0.9999802152196048,0.9999909723298918,0.9999968237683128,1.0
Conv10,0.9838574274548212,0.9960938763050308,0.9986421760693786,0.9994055751428376,0.9997304812731352,0.9998660567604724,0.9999389697399332,0.9999732480894408,0.9999912070265294,1.0
Conv11,0.9854970661157136,0.9966418368682468,0.9989706796232322,0.9995858954403036,0.9998190948888028,0.9999184909938152,0.9999675823359956,0.999986763400023,0.999995207967468,1.0
Conv12,0.9800496535655756,0.9943808559959236,0.9980572631048148,0.9991900597538432,0.9996379220180084,0.999841582218106,0.9999364353858105,0.9999760957500476,0.999990745790658,1.0
Conv13,0.9553592249748468,0.9866555814470502,0.9934561119787388,0.9970422767499054,0.9985280813873698,0.9991706572252996,0.9995063288969424,0.9997605781508344,0.9998739853959006,0.9999999999999996
Linear1,0.9993265901016386,0.9997945521487984,0.9999124491343082,0.9999578526062464,0.9999785005780636,0.9999889099418092,0.9999941668899824,0.9999970077822052,0.99999855907745,1.0
Linear2,0.999776950411107,0.9999358626028606,0.9999661512418468,0.999980063351162,0.9999877932721964,0.999992373513333,0.9999951759230324,0.999996962637323,0.9999980922118844,1.0
