layer_name,sparsity_0.8,sparsity_0.9,sparsity_1
Conv1,0.9980529392648747,0.9999998556025338,0.9999999999999999
Conv2,0.9999564586765864,0.9999932529890422,1.0
Conv3,0.9997857911564371,0.9999246034473631,0.9999999999999997
Conv4,0.9996986486925558,0.999896751724683,0.9999999999999998
Conv5,0.9999760234945297,0.9999887194775691,0.9999999999999997
Conv6,0.9999526283074747,0.9999788372056009,1.0
Conv7,0.9999242113764546,0.9999675279472339,1.0
Conv8,0.9999942762962657,0.9999962221149072,0.9999999999999997
Conv9,0.9999909723298918,0.9999968237683129,1.0
Conv10,0.9999732480894407,0.9999912070265294,1.0
Conv11,0.999986763400023,0.999995207967468,1.0
Conv12,0.9999760957500476,0.999990745790658,1.0
Conv13,0.9997605781508345,0.9998739853959006,0.9999999999999997
Linear1,0.9999970077822051,0.9999985590774499,0.9999999999999999
Linear2,0.999996962637323,0.9999980922118843,1.0
